player_id,season,team_id,games_played,ppg,rpg,apg,spg,bpg,fg_pct,fg3_pct,ft_pct,minutes,tov,player_efficiency
201599,2024,1610612743,36,3.9,4.4,0.7,0.2,0.4,0.624,0.0,0.491,11.0,0.6,0.2
201599,2025,1610612743,56,3.7,5.1,0.9,0.3,0.5,0.65,0.0,0.422,12.3,0.7,0.2
201609,2021,1610612748,50,13.4,3.4,4.4,0.7,0.2,0.432,0.373,0.828,26.7,2.4,0.4
201609,2022,1610612751,21,7.5,3.1,4.1,0.9,0.2,0.377,0.254,0.818,23.7,1.6,0.7
201609,2023,1610612749,58,6.3,1.4,2.6,0.2,0.1,0.421,0.359,0.689,15.0,1.1,0.2
201933,2021,1610612751,46,11.0,4.9,3.0,0.7,0.3,0.423,0.341,0.744,25.8,1.3,0.4
201933,2022,1610612751,56,6.4,4.1,1.9,0.5,0.3,0.425,0.262,0.724,17.1,0.6,0.2
201933,2023,1610612738,41,4.1,3.8,1.5,0.3,0.2,0.485,0.348,0.656,13.9,0.5,0.2
201935,2021,1610612751,44,24.6,7.9,10.8,1.2,0.8,0.466,0.362,0.861,36.6,4.0,0.9
201935,2022,1610612755,65,22.0,7.7,10.3,1.3,0.6,0.41,0.33,0.877,37.2,4.4,0.6
201935,2023,1610612755,58,21.0,6.1,10.7,1.2,0.5,0.441,0.385,0.867,36.8,3.4,0.6
201935,2024,1610612746,72,16.6,5.1,8.5,1.1,0.8,0.428,0.381,0.878,34.3,2.6,0.4
201935,2025,1610612746,79,22.8,5.8,8.7,1.5,0.7,0.41,0.352,0.874,35.3,4.3,0.4
201937,2021,1610612750,68,8.6,3.3,6.4,1.4,0.1,0.388,0.308,0.867,26.1,1.6,0.3
